id,address,longitude,latitude,name,types,primary_type,national_number,website_uri,rating_count,open_hours,rating,international_number,price_level,price_range
ChIJbxmJuLMcdkgR33dwiKTmT_Q,"16-18 Brushfield St, London E1 6AN, UK",-0.0782639,51.518907,Be At One - Spitalfields,"['bar', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJw0NXcaAddkgRrqsb_noCiSQ,"45 Old Broad St, London EC2N 1HU, UK",-0.0832151,51.5161927,Be At One - Liverpool Street,"['bar', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJM2nE97IcdkgRR7nvciwgIWY,"176 Bishopsgate, London EC2M 4NQ, UK",-0.0801563,51.517600699999996,Polo Bar - 24 Hour Great British Cafe,"['restaurant', 'coffee_shop', 'bar', 'cafe', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",restaurant,,,,,,,,
ChIJK-yoU7IcdkgR1_OPuyQx9HU,"210 Bishopsgate, Liverpool St, London EC2M 4NR, UK",-0.0794682,51.518102600000006,The Cocktail Club - Cocktail Bar near Liverpool Street,"['wine_bar', 'bar', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJZQfsbkgddkgRTuYEJTYGwRg,"40 Liverpool St, London EC2M 7QN, UK",-0.0807942,51.517437699999995,Rake’s Café Bar,"['night_club', 'bar', 'cafe', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJX__2lbIcdkgRPCpSjiwV5LM,"110 Bishopsgate, London EC2N 4AY, UK",-0.0811942,51.5162529,Duck & Waffle,"['breakfast_restaurant', 'brunch_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,,,,,,,,
ChIJATv5e60cdkgRfQsoV65RqUs,"Ticket Hall B, Liverpool St, London EC2M 7PN, UK",-0.0825873,51.517778799999995,Boost Juice Bars UK,"['juice_shop', 'food', 'point_of_interest', 'establishment']",juice_shop,,,,,,,,
ChIJZbiEwVQDdkgRqM6Mnr9trl0,"27 Poultry, London EC2R 8AJ, UK",-0.09007799999999999,51.513708799999996,The Nickel Bar,"['american_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJUcb3tFIDdkgRsgNgW5hf_10,"Unit 6, 15 Bishopsgate, London EC2N 3AR, UK",-0.0834193,51.514854899999996,JOE & THE JUICE,"['juice_shop', 'fast_food_restaurant', 'sandwich_shop', 'coffee_shop', 'vegan_restaurant', 'vegetarian_restaurant', 'meal_takeaway', 'cafe', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",juice_shop,,,,,,,,
ChIJNQsDclUDdkgRvZqcNZvdRgM,"Aldermary House, 10-15 Queen St, London EC4N 1TX, UK",-0.09265709999999999,51.5129722,Core Bar,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJd2P7obIDdkgRHhgSwHrvFus,"29 Royal Exchange, Threadneedle St, London EC3V 3LP, UK",-0.08756979999999999,51.5136815,Elevate,"['juice_shop', 'food', 'point_of_interest', 'establishment']",juice_shop,,,,,,,,
ChIJKVpDU7IcdkgR3vyNHZ8QLQs,"202 Bishopsgate, London EC2M 4NR, UK",-0.079556,51.5180903,Dirty Dicks,"['pub', 'bar', 'point_of_interest', 'establishment']",pub,,,,,,,,
ChIJ4ZDelLAddkgRmbGOBDv2Elk,"28-29 Liverpool St, London EC2M 7PD, UK",-0.0819975,51.5172289,JOE & THE JUICE,"['juice_shop', 'fast_food_restaurant', 'sandwich_shop', 'coffee_shop', 'vegan_restaurant', 'vegetarian_restaurant', 'meal_takeaway', 'cafe', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",juice_shop,,,,,,,,
